Statistical profiling result from isolate-0x27a84f0-v8.log, (318526 ticks, 117308 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  16383    5.1%          /usr/bin/node
    778    0.2%          [vdso]
    514    0.2%          /lib/x86_64-linux-gnu/libc-2.19.so
     75    0.0%          /lib/x86_64-linux-gnu/libpthread-2.19.so
      9    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19

 [JavaScript]:
   ticks  total  nonlib   name
  49038   15.4%   16.3%  LazyCompile: *isLegalMove /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:119:21
  34166   10.7%   11.4%  Builtin: StringEqual
  26277    8.2%    8.7%  LazyCompile: *<anonymous> /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:523:36
  13766    4.3%    4.6%  LazyCompile: *<anonymous> /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:545:36
   9330    2.9%    3.1%  LazyCompile: *makeMove /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:64:18
   1231    0.4%    0.4%  LazyCompile: *successors /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:471:20
   1158    0.4%    0.4%  Stub: CEntryStub {1}
   1100    0.3%    0.4%  Builtin: FastNewClosure
    889    0.3%    0.3%  Builtin: ArrayForEach
    659    0.2%    0.2%  Builtin: GrowFastSmiOrObjectElements
    543    0.2%    0.2%  Builtin: CallFunction_ReceiverIsAny
    535    0.2%    0.2%  Builtin: MathMax
    406    0.1%    0.1%  Builtin: ArgumentsAdaptorTrampoline
    397    0.1%    0.1%  Builtin: CompileLazy
    224    0.1%    0.1%  Stub: RecordWriteStub {3}
    218    0.1%    0.1%  Builtin: Call_ReceiverIsAny
    127    0.0%    0.0%  Builtin: MathMin
     68    0.0%    0.0%  LazyCompile: *maxSearch /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:516:19
     37    0.0%    0.0%  Builtin: AllocateInNewSpace
     31    0.0%    0.0%  Builtin: ToObject
     26    0.0%    0.0%  Function: ~<anonymous> /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:545:36
     19    0.0%    0.0%  Stub: CEntryStub
     11    0.0%    0.0%  LazyCompile: *getScoreOf /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:560:20
     10    0.0%    0.0%  Function: ~isLegalMove /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:119:21
      9    0.0%    0.0%  LazyCompile: *isTerminal /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:498:20
      9    0.0%    0.0%  Function: ~maxSearch /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:516:19
      9    0.0%    0.0%  Function: ~makeMove /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:64:18
      6    0.0%    0.0%  LazyCompile: *minSearch /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:538:19
      6    0.0%    0.0%  Function: ~<anonymous> /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:523:36
      5    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      4    0.0%    0.0%  Stub: CallICStub
      4    0.0%    0.0%  Function: ~successors /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:471:20
      3    0.0%    0.0%  Stub: StringAddStub
      3    0.0%    0.0%  Function: ~minSearch /mnt/c/Users/mhump/OneDrive/School/2017-18/Fall/webdev/project/server.js:538:19
      3    0.0%    0.0%  Builtin: InterpreterEntryTrampoline
      2    0.0%    0.0%  StoreIC: A store IC from the snapshot
      2    0.0%    0.0%  KeyedLoadIC: A keyed load IC from the snapshot
